Frequencia,tempo
206.00,291
206.00,291
50.00,1484
50.00,2677
50.00,3870
50.00,5063
50.00,6256
50.00,7449
50.00,8642
50.00,9835
50.00,11028
50.00,12221
50.00,12221
50.00,13414
50.00,14607
50.00,14607
50.00,15799
50.00,16992
50.00,18185
50.00,19378
50.00,20571
50.00,20571
50.00,21764
50.00,22957
50.00,24150
50.00,25344
50.00,25344
50.00,26536
50.00,26536
50.00,27729
50.00,28923
50.00,30116
50.00,31310
50.00,32503
50.00,32503
50.00,33697
50.00,34890
50.00,36083
50.00,37277
50.00,38470
50.00,39663
50.00,40856
50.00,42050
50.00,43243
50.00,44436
50.00,44436
50.00,45629
50.00,46822
50.00,46822
50.00,48014
50.00,49207
50.00,50400
50.00,51593
50.00,52785
50.00,53978
50.00,53978
50.00,55171
50.00,56364
50.00,56364
50.00,57556
50.00,57556
50.00,58749
50.00,59942
50.00,59942
49.00,61143
271.00,61364
271.00,61364
50.00,62557
