Frequencia,tempo
8571.00,7
659.00,98
659.00,189
659.00,189
659.00,280
659.00,371
659.00,462
659.00,462
666.00,552
666.00,552
652.00,644
659.00,735
659.00,826
659.00,917
659.00,1008
666.00,1098
659.00,1189
652.00,1281
659.00,1372
659.00,1372
659.00,1463
666.00,1553
659.00,1644
659.00,1735
659.00,1826
659.00,1917
659.00,1917
652.00,2009
666.00,2099
659.00,2190
659.00,2281
659.00,2372
659.00,2463
666.00,2553
659.00,2644
652.00,2736
659.00,2827
659.00,2918
659.00,3009
666.00,3099
659.00,3190
659.00,3281
659.00,3281
652.00,3373
659.00,3464
666.00,3554
666.00,3554
666.00,3644
659.00,3735
659.00,3826
659.00,3917
666.00,4007
652.00,4099
659.00,4190
659.00,4281
659.00,4372
659.00,4463
659.00,4463
666.00,4553
659.00,4644
652.00,4736
659.00,4827
666.00,4917
659.00,5008
659.00,5099
659.00,5190
659.00,5281
666.00,5371
652.00,5463
659.00,5554
659.00,5645
659.00,5736
666.00,5826
659.00,5917
659.00,6008
659.00,6099
652.00,6191
659.00,6282
659.00,6282
666.00,6372
659.00,6463
659.00,6554
659.00,6645
666.00,6735
652.00,6827
659.00,6918
659.00,7009
659.00,7100
666.00,7190
659.00,7281
659.00,7372
659.00,7463
659.00,7463
659.00,7554
659.00,7645
659.00,7736
659.00,7736
659.00,7827
659.00,7918
659.00,8009
666.00,8099
659.00,8190
652.00,8282
652.00,8282
659.00,8373
659.00,8464
666.00,8554
659.00,8645
659.00,8736
659.00,8827
659.00,8918
659.00,9009
659.00,9100
659.00,9191
659.00,9191
659.00,9282
666.00,9372
659.00,9463
659.00,9554
652.00,9646
659.00,9737
666.00,9827
659.00,9918
659.00,10009
659.00,10009
659.00,10100
666.00,10190
659.00,10281
659.00,10281
659.00,10372
659.00,10463
659.00,10554
659.00,10554
666.00,10644
659.00,10735
659.00,10826
659.00,10826
659.00,10917
652.00,11009
652.00,11009
666.00,11099
659.00,11190
659.00,11281
659.00,11372
659.00,11463
666.00,11553
659.00,11644
659.00,11644
652.00,11736
659.00,11827
659.00,11827
659.00,11918
666.00,12008
659.00,12099
659.00,12190
659.00,12281
666.00,12371
652.00,12463
659.00,12554
659.00,12645
659.00,12736
659.00,12827
666.00,12917
659.00,13008
659.00,13008
652.00,13100
659.00,13191
659.00,13282
659.00,13282
666.00,13372
666.00,13372
659.00,13463
659.00,13554
659.00,13645
666.00,13735
652.00,13827
659.00,13918
659.00,13918
659.00,14009
659.00,14100
666.00,14190
659.00,14281
659.00,14372
652.00,14464
659.00,14555
659.00,14646
666.00,14736
659.00,14827
659.00,14827
659.00,14918
659.00,14918
659.00,15009
659.00,15100
659.00,15191
659.00,15282
659.00,15373
659.00,15464
666.00,15554
659.00,15645
659.00,15736
659.00,15827
652.00,15919
659.00,16010
659.00,16101
666.00,16191
666.00,16191
659.00,16282
659.00,16373
659.00,16464
659.00,16464
659.00,16555
659.00,16646
659.00,16737
659.00,16828
659.00,16919
659.00,17010
659.00,17101
666.00,17191
652.00,17283
659.00,17374
659.00,17465
666.00,17555
659.00,17646
659.00,17737
659.00,17828
652.00,17920
659.00,18011
659.00,18102
659.00,18102
666.00,18192
