Frequencia,tempo
659.00,18283
659.00,18283
659.00,18374
659.00,18465
659.00,18556
659.00,18647
659.00,18647
666.00,18737
659.00,18828
659.00,18919
659.00,19010
659.00,19010
659.00,19101
659.00,19101
666.00,19191
659.00,19282
652.00,19374
659.00,19465
659.00,19556
659.00,19647
666.00,19737
666.00,19737
666.00,19827
659.00,19918
659.00,20009
652.00,20101
666.00,20191
659.00,20282
659.00,20373
659.00,20464
659.00,20464
659.00,20555
659.00,20555
659.00,20646
652.00,20738
666.00,20828
659.00,20919
659.00,21010
659.00,21101
659.00,21192
659.00,21283
666.00,21373
666.00,21373
659.00,21464
659.00,21555
659.00,21646
659.00,21737
659.00,21828
666.00,21918
666.00,21918
666.00,22008
659.00,22099
652.00,22191
659.00,22282
659.00,22282
659.00,22373
666.00,22463
659.00,22554
659.00,22645
659.00,22736
652.00,22828
659.00,22919
666.00,23009
659.00,23100
659.00,23191
659.00,23282
659.00,23373
659.00,23464
659.00,23555
659.00,23646
659.00,23737
659.00,23828
659.00,23919
659.00,24010
659.00,24101
659.00,24192
659.00,24192
666.00,24282
659.00,24373
659.00,24464
659.00,24555
659.00,24555
659.00,24646
659.00,24646
666.00,24736
666.00,24736
666.00,24826
652.00,24918
652.00,24918
659.00,25009
659.00,25100
666.00,25190
659.00,25281
659.00,25372
659.00,25463
659.00,25554
652.00,25646
659.00,25737
659.00,25737
666.00,25827
666.00,25827
666.00,25917
659.00,26008
659.00,26099
659.00,26190
659.00,26281
659.00,26372
659.00,26372
666.00,26462
659.00,26553
659.00,26644
659.00,26735
659.00,26826
666.00,26916
652.00,27008
659.00,27099
659.00,27190
659.00,27281
666.00,27371
666.00,27371
666.00,27461
666.00,27461
666.00,27551
659.00,27642
659.00,27642
652.00,27734
659.00,27825
659.00,27916
666.00,28006
666.00,28006
666.00,28096
659.00,28187
659.00,28187
659.00,28278
659.00,28369
659.00,28460
659.00,28551
659.00,28551
666.00,28641
659.00,28732
659.00,28823
659.00,28914
666.00,29004
666.00,29004
666.00,29094
652.00,29186
659.00,29277
659.00,29368
666.00,29458
659.00,29549
659.00,29640
659.00,29640
659.00,29731
659.00,29731
659.00,29822
652.00,29914
666.00,30004
659.00,30095
659.00,30186
659.00,30277
659.00,30277
659.00,30368
666.00,30458
652.00,30550
659.00,30641
659.00,30732
659.00,30823
666.00,30913
666.00,30913
666.00,31003
659.00,31094
659.00,31185
652.00,31277
666.00,31367
659.00,31458
659.00,31549
659.00,31640
659.00,31731
659.00,31731
666.00,31821
659.00,31912
652.00,32004
659.00,32095
659.00,32186
659.00,32277
659.00,32277
666.00,32367
659.00,32458
659.00,32549
652.00,32641
659.00,32732
666.00,32822
659.00,32913
659.00,33004
659.00,33004
659.00,33095
666.00,33185
659.00,33276
652.00,33368
659.00,33459
659.00,33550
659.00,33550
666.00,33640
659.00,33731
659.00,33822
659.00,33913
659.00,34004
659.00,34095
659.00,34186
659.00,34277
659.00,34368
659.00,34459
666.00,34549
659.00,34640
652.00,34732
659.00,34823
659.00,34914
666.00,35004
659.00,35095
659.00,35186
659.00,35277
666.00,35367
652.00,35459
659.00,35550
659.00,35641
659.00,35732
666.00,35822
659.00,35913
659.00,35913
659.00,36004
652.00,36096
666.00,36186
659.00,36277
659.00,36368
659.00,36459
659.00,36459
659.00,36550
666.00,36640
659.00,36731
652.00,36823
659.00,36914
666.00,37004
659.00,37095
659.00,37186
659.00,37277
659.00,37277
659.00,37368
666.00,37458
652.00,37550
659.00,37641
659.00,37732
666.00,37822
666.00,37822
666.00,37912
659.00,38003
659.00,38094
659.00,38185
659.00,38276
659.00,38367
659.00,38367
659.00,38458
659.00,38549
659.00,38640
666.00,38730
659.00,38821
652.00,38913
652.00,38913
659.00,39004
666.00,39094
659.00,39185
659.00,39276
659.00,39367
659.00,39458
659.00,39458
666.00,39548
666.00,39548
659.00,39639
659.00,39730
659.00,39730
659.00,39821
666.00,39911
659.00,40002
659.00,40093
659.00,40093
659.00,40184
659.00,40275
659.00,40366
659.00,40457
659.00,40548
659.00,40639
666.00,40729
659.00,40820
659.00,40911
652.00,41003
652.00,41003
659.00,41094
659.00,41094
666.00,41184
659.00,41275
659.00,41366
659.00,41457
666.00,41547
666.00,41547
666.00,41637
652.00,41729
659.00,41820
659.00,41911
666.00,42001
659.00,42092
659.00,42183
659.00,42274
666.00,42364
652.00,42456
659.00,42547
659.00,42638
659.00,42729
666.00,42819
659.00,42910
659.00,43001
659.00,43092
659.00,43183
659.00,43183
666.00,43273
666.00,43273
666.00,43363
659.00,43454
659.00,43545
666.00,43635
666.00,43635
666.00,43725
666.00,43725
659.00,43816
652.00,43908
666.00,43998
659.00,44089
659.00,44089
666.00,44179
659.00,44270
659.00,44361
666.00,44451
659.00,44542
652.00,44634
659.00,44725
666.00,44815
659.00,44906
659.00,44997
659.00,45088
659.00,45179
659.00,45270
659.00,45361
659.00,45452
659.00,45543
666.00,45633
659.00,45724
659.00,45815
659.00,45906
652.00,45998
666.00,46088
659.00,46179
659.00,46270
659.00,46361
666.00,46451
659.00,46542
659.00,46633
659.00,46633
652.00,46725
659.00,46816
666.00,46906
659.00,46997
659.00,47088
659.00,47179
666.00,47269
652.00,47361
659.00,47452
659.00,47543
659.00,47543
659.00,47634
666.00,47724
659.00,47815
659.00,47815
659.00,47906
659.00,47906
659.00,47997
659.00,48088
659.00,48179
659.00,48270
659.00,48361
659.00,48452
666.00,48542
659.00,48633
659.00,48724
652.00,48816
652.00,48816
659.00,48907
666.00,48997
659.00,49088
659.00,49179
659.00,49179
659.00,49270
659.00,49361
659.00,49452
659.00,49543
659.00,49634
659.00,49725
659.00,49816
666.00,49906
659.00,49997
659.00,50088
659.00,50088
652.00,50180
666.00,50270
659.00,50361
659.00,50452
659.00,50452
659.00,50543
659.00,50634
659.00,50725
659.00,50816
659.00,50816
666.00,50906
659.00,50997
659.00,51088
659.00,51179
666.00,51269
666.00,51269
666.00,51359
659.00,51450
652.00,51542
659.00,51633
659.00,51633
666.00,51723
666.00,51723
666.00,51813
659.00,51904
659.00,51995
659.00,52086
666.00,52176
652.00,52268
659.00,52359
659.00,52450
659.00,52541
666.00,52631
659.00,52722
659.00,52813
659.00,52813
659.00,52904
652.00,52996
659.00,53087
666.00,53177
659.00,53268
659.00,53359
659.00,53450
659.00,53541
659.00,53632
659.00,53723
659.00,53723
666.00,53813
659.00,53904
659.00,53995
659.00,54086
659.00,54086
666.00,54176
659.00,54267
652.00,54359
659.00,54450
659.00,54450
659.00,54541
659.00,54632
666.00,54722
659.00,54813
659.00,54904
659.00,54995
652.00,55087
652.00,55087
659.00,55178
666.00,55268
659.00,55359
659.00,55450
659.00,55541
659.00,55632
652.00,55724
666.00,55814
666.00,55814
666.00,55904
659.00,55995
659.00,55995
659.00,56086
659.00,56177
659.00,56268
666.00,56358
652.00,56450
652.00,56450
666.00,56540
659.00,56631
659.00,56722
659.00,56813
659.00,56813
666.00,56903
659.00,56994
659.00,57085
652.00,57177
659.00,57268
659.00,57359
666.00,57449
659.00,57540
659.00,57631
659.00,57722
659.00,57722
652.00,57814
659.00,57905
659.00,57905
659.00,57996
659.00,57996
666.00,58086
659.00,58177
659.00,58268
659.00,58359
659.00,58450
652.00,58542
