402.00,111851
400.00,112001
405.00,112149
400.00,112299
402.00,112448
402.00,112448
405.00,112596
405.00,112596
400.00,112746
400.00,112896
400.00,112896
405.00,113044
402.00,113193
402.00,113193
402.00,113342
402.00,113491
400.00,113641
405.00,113789
400.00,113939
402.00,114088
402.00,114088
400.00,114238
400.00,114238
402.00,114387
402.00,114536
402.00,114685
400.00,114835
402.00,114984
402.00,114984
400.00,115134
405.00,115282
405.00,115282
402.00,115431
402.00,115580
402.00,115580
400.00,115730
405.00,115878
405.00,115878
402.00,116027
402.00,116027
405.00,116175
405.00,116175
400.00,116325
402.00,116474
402.00,116623
402.00,116772
402.00,116772
400.00,116922
402.00,117071
402.00,117071
402.00,117220
402.00,117220
405.00,117368
400.00,117518
400.00,117518
402.00,117667
400.00,117817
405.00,117965
400.00,118115
402.00,118264
402.00,118264
400.00,118414
405.00,118562
405.00,118562
402.00,118711
402.00,118860
402.00,118860
400.00,119010
405.00,119158
400.00,119308
402.00,119457
400.00,119607
405.00,119755
405.00,119755
402.00,119904
402.00,120053
400.00,120203
405.00,120351
400.00,120501
402.00,120650
402.00,120650
400.00,120800
400.00,120800
402.00,120949
402.00,121098
402.00,121247
400.00,121397
400.00,121397
402.00,121546
402.00,121695
402.00,121844
400.00,121994
402.00,122143
402.00,122292
402.00,122441
400.00,122591
402.00,122740
402.00,122740
402.00,122889
402.00,123038
400.00,123188
400.00,123188
402.00,123337
402.00,123486
402.00,123486
405.00,123634
400.00,123784
402.00,123933
402.00,124082
402.00,124082
405.00,124230
400.00,124380
405.00,124528
400.00,124678
400.00,124678
405.00,124826
400.00,124976
405.00,125124
400.00,125274
400.00,125274
405.00,125422
400.00,125572
405.00,125720
400.00,125870
402.00,126019
402.00,126019
400.00,126169
405.00,126317
400.00,126467
402.00,126616
400.00,126766
405.00,126914
405.00,126914
402.00,127063
402.00,127212
402.00,127212
400.00,127362
405.00,127510
400.00,127660
400.00,127660
402.00,127809
402.00,127958
402.00,128107
400.00,128257
400.00,128257
402.00,128406
402.00,128555
402.00,128704
402.00,128704
400.00,128854
402.00,129003
402.00,129152
402.00,129301
400.00,129451
402.00,129600
402.00,129600
405.00,129748
400.00,129898
400.00,130048
405.00,130196
402.00,130345
400.00,130495
400.00,130495
402.00,130644
402.00,130793
402.00,130942
400.00,131092
402.00,131241
402.00,131390
402.00,131390
405.00,131538
400.00,131688
405.00,131836
405.00,131836
402.00,131985
402.00,132134
400.00,132284
405.00,132432
400.00,132582
402.00,132731
402.00,132880
402.00,132880
405.00,133028
400.00,133178
402.00,133327
402.00,133327
402.00,133476
402.00,133476
405.00,133624
400.00,133774
400.00,133774
402.00,133923
402.00,134072
402.00,134221
400.00,134371
402.00,134520
402.00,134669
402.00,134669
405.00,134817
400.00,134967
405.00,135115
400.00,135265
402.00,135414
400.00,135564
405.00,135712
405.00,135712
402.00,135861
402.00,136010
400.00,136160
400.00,136160
405.00,136308
405.00,136308
402.00,136457
402.00,136606
400.00,136756
400.00,136756
405.00,136904
