Frequencia,tempo
3000.00,20
789.00,96
789.00,172
800.00,247
789.00,323
800.00,398
789.00,474
800.00,549
789.00,625
789.00,625
789.00,701
789.00,777
800.00,852
800.00,852
789.00,928
789.00,1004
789.00,1080
789.00,1080
800.00,1155
800.00,1230
800.00,1230
789.00,1306
789.00,1306
789.00,1382
789.00,1458
800.00,1533
789.00,1609
789.00,1685
800.00,1760
789.00,1836
800.00,1911
789.00,1987
789.00,2063
789.00,2139
800.00,2214
789.00,2290
789.00,2366
800.00,2441
800.00,2516
789.00,2592
789.00,2668
789.00,2744
789.00,2744
789.00,2820
800.00,2895
789.00,2971
789.00,3047
789.00,3123
789.00,3123
810.00,3197
789.00,3273
789.00,3349
789.00,3425
789.00,3425
789.00,3501
800.00,3576
789.00,3652
789.00,3728
789.00,3804
789.00,3804
800.00,3879
800.00,3954
789.00,4030
789.00,4106
789.00,4182
800.00,4257
789.00,4333
789.00,4409
789.00,4485
800.00,4560
789.00,4636
800.00,4711
800.00,4711
800.00,4786
800.00,4861
800.00,4861
789.00,4937
789.00,5013
789.00,5089
789.00,5165
800.00,5240
800.00,5315
789.00,5391
789.00,5467
800.00,5542
789.00,5618
789.00,5694
789.00,5770
789.00,5846
789.00,5846
800.00,5921
789.00,5997
800.00,6072
800.00,6072
800.00,6147
800.00,6222
789.00,6298
789.00,6374
789.00,6450
800.00,6525
789.00,6601
789.00,6677
789.00,6753
800.00,6828
800.00,6903
789.00,6979
789.00,7055
789.00,7131
800.00,7206
789.00,7282
789.00,7358
789.00,7434
789.00,7510
800.00,7585
800.00,7660
789.00,7736
789.00,7812
800.00,7887
789.00,7963
789.00,8039
789.00,8115
800.00,8190
789.00,8266
789.00,8342
800.00,8417
789.00,8493
800.00,8568
789.00,8644
789.00,8720
789.00,8796
800.00,8871
789.00,8947
789.00,9023
789.00,9099
789.00,9175
810.00,9249
810.00,9249
800.00,9324
789.00,9400
789.00,9476
800.00,9551
789.00,9627
789.00,9703
789.00,9779
800.00,9854
789.00,9930
800.00,10005
789.00,10081
789.00,10157
789.00,10157
810.00,10231
789.00,10307
789.00,10383
789.00,10459
800.00,10534
800.00,10534
789.00,10610
789.00,10686
789.00,10762
789.00,10762
810.00,10836
789.00,10912
789.00,10988
789.00,11064
789.00,11140
